"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Payal Shanker";"BJP";" 11";"Graduate";"52";"75007453";"28019017";"Yes";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Aggimalla Ganesh";"Dharma Samaj Party";" 1";"12th Pass";"37";"50254";"216039";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Alluri Sanjeeva Reddy";"IND";"0";"12th Pass";"65";"33866297";"433368";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Annam Prem Devend";"IND";"0";"5th Pass";"47";"3627372";"116019";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Aslam";"IND";"0";"Illiterate";"36";"220000";"33000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Banu Rajeshwar Rao";"IND";"0";"8th Pass";"64";"751000";"80000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Bedodkar Ganesh";"IND";"0";"10th Pass";"35";"35000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Bhupend";"Alliance of Democratic Reforms Party";" 1";"12th Pass";"26";"60000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Elcharwar Sathyanarayana";"Baliraja Party";"0";"12th Pass";"35";"2334800";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Gedam Janardha";"IND";"0";"10th Pass";"53";"3210000";"2988000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Gudepelly Gnanesh";"Bharatha Chaitanya Yuvajana Party";"0";"Graduate Professional";"27";"4000000";"1300000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Jogu Ramanna";"BRS";"0";"12th Pass";"60";"18846976";"322188";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Kalamadugu Vijay Kuma";"IND";"0";"12th Pass";"55";"100000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Kamle Bhagava";"Republican Party of India";"0";"12th Pass";"34";"718000";"400000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Kandi Srinivasa Reddy";"INC";" 7";"Post Graduate";"40";"508868554";"49685258";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Kema Srinivas";"Praja Ektha Party";"0";"Graduate Professional";"34";"9265370";"2703591";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Munde Praveen Kuma";"IND";"0";"12th Pass";"25";"2315600";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Naganna Galipell";"IND";"0";"Illiterate";"33";"4836543";"65000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Subash Navat";"IND";"0";"10th Pass";"49";"8606000";"2938592";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Suryavamshi Vidhyasaga";"Bahujan Mukti Party";"0";"8th Pass";"39";"399908";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Takbide Pandit Rao";"IND";" 1";"8th Pass";"75";"3460000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Taksande Dharmapal";"IND";"0";"12th Pass";"37";"50000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Thumram Chandra Shav";"Gondvana Gantantra Party";"0";"8th Pass";"38";"6998000";"1082000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Vagmare Abishek";"IND";"0";"8th Pass";"43";"10000";"0";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Voter Car Suresh";"Yuga Thulasi Party";"0";"8th Pass";"36";"742200";"600000";"No";"ADILABAD";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Anil Jadhav";"BRS";"0";"Graduate";"49";"19318616";"2849360";"Yes";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Aade Gajend";"INC";"0";"Graduate";"44";"12008500";"3670753";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Ade Sunil Kuma";"Bharatha Chaitanya Yuvajana Party";"0";"Graduate";"33";"921000";"657000";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Badu Naitham";"Gondvana Gantantra Party";"0";"Post Graduate";"42";"1985000";"0";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Jadhav Bhojya Naik";"IND";"0";"Illiterate";"51";"120000";"60000";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Mesram Jangubapu";"BSP";"0";"Post Graduate";"34";"688984";"476466";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Soyam Bapurao";"BJP";" 55";"12th Pass";"54";"23435144";"2137356";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Todasam Dhanalaxm";"IND";"0";"Post Graduate";"40";"4759102";"820000";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Uhikea Heeraj";"Rashtriya Jankranti Party";"0";"10th Pass";"45";"331000";"145000";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Uikke Umesh";"Dharma Samaj Party";"0";"12th Pass";"33";"1010000";"45000";"No";"BOATH (ST)";"TELANGANA";"ADILABAD";"2023";"Telangana";"No Comment"
"Adinarayana Jare";"INC";"0";"Post Graduate";"40";"5697652";"1701088";"Yes";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Angothu Krishna";"IND";"0";"12th Pass";"48";"4574000";"100000";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Arjunarao Pittala";"CPI(M)";" 4";"12th Pass";"47";"4510800";"50000";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Kanneboina Venkatanarsaiah";"Gondvana Gantantra Party";"0";"8th Pass";"57";"239000";"0";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Kishor Kallu";"IND";"0";"Literate";"51";"1428800";"240000";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Kunja Nagama";"IND";"0";"Illiterate";"44";"6000";"0";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Madakam Prasad";"BSP";" 1";"10th Pass";"44";"2115566";"330000";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Manugonda Venkata Mutyam";"Bharatha Chaitanya Yuvajana Party";" 3";"Literate";"40";"9061700";"3250000";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
"Mecha Nageswara Rao";"BRS";"0";"5th Pass";"56";"26604247";"1716993";"No";"ASWARAOPETA (ST)";"TELANGANA";"BHADRADRI KOTHAGUDEM";"2023";"Telangana";"No Comment"
