Constituency,State,Year,Code,pc_id,Status
ANDAMAN & NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2009,543,3501,
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN & NICOBAR ISLANDS,2019,543,3501,
ADILABAD,ANDHRA PRADESH,2009,410,2801,
AMALAPURAM,ANDHRA PRADESH,2019,411,2824,
ANAKAPALLE,ANDHRA PRADESH,2019,412,2822,
ANAKAPALLI,ANDHRA PRADESH,2004,412,2822,
ANANTAPUR,ANDHRA PRADESH,2019,413,2836,
ARAKU,ANDHRA PRADESH,2019,414,2818,
BAPATLA,ANDHRA PRADESH,2019,415,2832,
BHADRACHALAM,ANDHRA PRADESH,2004,,,abolished
BHONGIR,ANDHRA PRADESH,2009,416,2814,
BOBBILI,ANDHRA PRADESH,2004,,,abolished
CHEVELLA,ANDHRA PRADESH,2009,417,2810,
CHITTOOR,ANDHRA PRADESH,2019,418,2842,
CUDDAPAH,ANDHRA PRADESH,2004,423,2838,
ELURU,ANDHRA PRADESH,2019,419,2827,
GUNTUR,ANDHRA PRADESH,2019,420,2830,
HANAMKONDA,ANDHRA PRADESH,2004,,,abolished
HINDUPUR,ANDHRA PRADESH,2019,421,2837,
HYDERABAD,ANDHRA PRADESH,2009,422,2809,
KADAPA,ANDHRA PRADESH,2019,423,2838,
KAKINADA,ANDHRA PRADESH,2019,424,2823,
KARIMNAGAR,ANDHRA PRADESH,2009,425,2803,
KHAMMAM,ANDHRA PRADESH,2009,426,2817,
KURNOOL,ANDHRA PRADESH,2019,427,2835,
MACHILIPATNAM,ANDHRA PRADESH,2019,428,2828,
MAHABUBABAD,ANDHRA PRADESH,2009,429,2816,
MAHABUBNAGAR,ANDHRA PRADESH,2004,430,2811,
MAHBUBNAGAR,ANDHRA PRADESH,2009,430,2811,
MALKAJGIRI,ANDHRA PRADESH,2009,431,2807,
MEDAK,ANDHRA PRADESH,2009,432,2806,
MIRYALGUDA,ANDHRA PRADESH,2004,,,abolished
NAGARKURNOOL,ANDHRA PRADESH,2009,433,2812,
NALGONDA,ANDHRA PRADESH,2009,434,2813,
NANDYAL,ANDHRA PRADESH,2019,435,2834,
NARASAPUR,ANDHRA PRADESH,2004,437,2826,
NARASARAOPET,ANDHRA PRADESH,2019,436,2831,
NARSAPURAM,ANDHRA PRADESH,2019,437,2826,
NELLORE,ANDHRA PRADESH,2019,438,2839,
NIZAMABAD,ANDHRA PRADESH,2009,439,2804,
ONGOLE,ANDHRA PRADESH,2019,440,2833,
PARVATHIPURAM,ANDHRA PRADESH,2004,,,abolished
PEDDAPALLE,ANDHRA PRADESH,2009,441,2802,
PEDDAPALLI,ANDHRA PRADESH,2004,441,2802,
RAJAHMUNDRY,ANDHRA PRADESH,2019,442,2825,
RAJAMPET,ANDHRA PRADESH,2019,443,2841,
SECUNDERABAD,ANDHRA PRADESH,2009,444,2808,
SIDDIPET,ANDHRA PRADESH,2004,,,abolished
SRIKAKULAM,ANDHRA PRADESH,2019,445,2819,
TENALI,ANDHRA PRADESH,2004,,,abolished
TIRUPATHI,ANDHRA PRADESH,2004,446,2840,
TIRUPATI,ANDHRA PRADESH,2019,446,2840,
VIJAYAWADA,ANDHRA PRADESH,2019,447,2829,
VISAKHAPATNAM,ANDHRA PRADESH,2019,448,2821,
VIZIANAGARAM,ANDHRA PRADESH,2019,449,2820,
WARANGAL,ANDHRA PRADESH,2009,450,2815,
ZAHIRABAD,ANDHRA PRADESH,2009,451,2805,
ARUNACHAL EAST,ARUNACHAL PRADESH,2019,193,1202,
ARUNACHAL WEST,ARUNACHAL PRADESH,2019,194,1201,
AUTONOMOUS DISTRICT,ASSAM,2019,203,1803,
BARPETA,ASSAM,2019,204,1806,
DHUBRI,ASSAM,2019,205,1804,
DIBRUGARH,ASSAM,2019,206,1813,
GAUHATI,ASSAM,2019,207,1807,
JORHAT,ASSAM,2019,208,1812,
KALIABOR,ASSAM,2019,209,1811,
KARIMGANJ,ASSAM,2019,210,1801,
KOKRAJHAR,ASSAM,2019,211,1805,
LAKHIMPUR,ASSAM,2019,212,1814,
MANGALDOI,ASSAM,2019,213,1808,
NAWGONG,ASSAM,2019,214,1810,
NOWGONG,ASSAM,2014,214,1810,
SILCHAR,ASSAM,2019,215,1802,
TEZPUR,ASSAM,2019,216,1809,
ARARIA,BIHAR,2019,152,1009,
ARRAH,BIHAR,2019,153,1032,
AURANGABAD,BIHAR,2019,154,1037,
BAGAHA,BIHAR,2004,,,abolished
BALIA,BIHAR,2004,,,abolished
BANKA,BIHAR,2019,155,1027,
BANKA (BYE-ELECTION ON 24-06-2010),BIHAR,2009,155,1027,
BARH,BIHAR,2004,,,abolished
BEGUSARAI,BIHAR,2019,156,1024,
BETTIAH,BIHAR,2004,,,abolished
BHAGALPUR,BIHAR,2019,157,1026,
BIKRAMGANJ,BIHAR,2004,,,abolished
BUXAR,BIHAR,2019,158,1033,
CHAPRA,BIHAR,2004,,,abolished
DARBHANGA,BIHAR,2019,159,1014,
GAYA,BIHAR,2019,160,1038,
GOPALGANJ,BIHAR,2019,161,1017,
HAJIPUR,BIHAR,2019,162,1021,
JAHANABAD,BIHAR,2019,163,1036,
JAMUI,BIHAR,2019,164,1040,
JHANJHARPUR,BIHAR,2019,165,1007,
KARAKAT,BIHAR,2019,166,1035,
KATIHAR,BIHAR,2019,167,1011,
KHAGARIA,BIHAR,2019,168,1025,
KISHANGANJ,BIHAR,2019,169,1010,
MADHEPURA,BIHAR,2019,170,1013,
